time,susceptible,exposed,infected,recovered,new_exposed,new_infected,new_recovered,deaths
143,0.05612338997810226,0.00021951641226277373,0.0004159523753284671,0.8978804656934304,1.7353315058394163e-05,3.4890801240875934e-05,6.561939591240884e-05,0.045360681313868625
144,0.056107493175182495,0.00020327441817518272,0.00038522810452554733,0.8979412350364961,1.6067951518248163e-05,3.231092562043798e-05,6.078205218978104e-05,0.04536276248175177
145,0.05609277379562044,0.00018823228072992678,0.000356763584744526,0.8979975474452542,1.487754935766423e-05,2.992070591240873e-05,5.629904554744517e-05,0.045364691021897774
146,0.0560791461313868,0.000174300302919708,0.00033039393080292004,0.8980496832116776,1.3775290072992676e-05,2.7707670218978153e-05,5.2143937956204336e-05,0.0453664752554744
147,0.056066528489050964,0.0001613971281021896,0.00030596914897810243,0.8980979781021897,1.2754611824817524e-05,2.5657777423357652e-05,4.829319635036496e-05,0.04536812766423353
148,0.05605484557664231,0.0001494462953722626,0.0002833463628467153,0.8981426948905104,1.1809610182481758e-05,2.3759538868613144e-05,4.472545058394161e-05,0.045369659124087615
149,0.056044031364963505,0.00013837821708029206,0.00026239499671532827,0.89818412919708,1.0934672591240885e-05,2.2001690131386857e-05,4.1419785985401503e-05,0.0453710748175183
150,0.05603401512408752,0.00012812871065693456,0.0002429888773722632,0.8982224686131389,1.0124508635036504e-05,2.0373273700729957e-05,3.835783686131384e-05,0.0453723871532846
151,0.056024742459854025,0.00011863676802919706,0.00022501577481751856,0.8982580007299276,9.374561051094864e-06,1.8865099547445235e-05,3.552190284671528e-05,0.04537360211678827
152,0.05601615857664244,0.00010984718386861296,0.00020836905372262766,0.8982908934306556,8.679952255474443e-06,1.7467712328467127e-05,3.289518875912416e-05,0.04537472846715325
153,0.05600820759854014,0.00010170947583941603,0.0001929520870072993,0.8983213583941614,8.037226627737238e-06,1.617329989051096e-05,3.04630074890511e-05,0.04537577029197078
154,0.05600084770802924,9.417401540145993e-05,0.00017867314576642323,0.8983495744525548,7.4416956642335894e-06,1.4975778678832087e-05,2.820950802919708e-05,0.045376734306569314
155,0.05599403285401451,8.719734226277366e-05,0.00016544928642335747,0.8983756861313869,6.890480744525546e-06,1.3866705510948894e-05,2.6123286722627707e-05,0.045377628248175164
156,0.05598771862773716,8.07382839416058e-05,0.00015320333299270102,0.8983998810218975,6.380043868613138e-06,1.2839669576642357e-05,2.4189560116788334e-05,0.04537845459854024
157,0.055981875160584026,7.475880459854035e-05,0.0001418609045255474,0.8984222912408751,5.907409817518256e-06,1.1889012437956212e-05,2.2400592072992737e-05,0.0453792213138686
158,0.0559764598613138,6.922304233576647e-05,0.00013135794262773712,0.8984430218978123,5.469673678832121e-06,1.100818475182481e-05,2.0742887722627733e-05,0.045379931094890504
159,0.05597144575182491,6.409753773722623e-05,0.00012163188430656916,0.898462239416058,5.064382218978109e-06,1.0192998270072993e-05,1.9208145094890505e-05,0.04538058868613141
